titolo,prezzo_originale,prezzo_scontato,immagine,link,colore_codice,categoria,genere
Ciabatte Donna in Materiale Tecnico e Pelle,"69,50 €","99,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513423D_412_02_jpg.webp,https://nerogiardini.it/it/25p-e513423d,13,ciabatte-e-sabot,donna
Ciabatte Donna in Materiale Tecnico,"69,50 €","99,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513424D_412_02_jpg.webp,https://nerogiardini.it/it/25p-e513424d,13,ciabatte-e-sabot,donna
Ciabatte Donna in Pelle,"76,50 €","109,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513514D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e513514d,13,ciabatte-e-sabot,donna
Sabot Donna in Pelle,"90,50 €","129,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E518210D_453_02_jpg.webp,https://nerogiardini.it/it/25p-e518210d,13,ciabatte-e-sabot,donna
Ciabatte Donna in Pelle,"87,50 €","125,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513301D_711_02_jpg.webp,https://nerogiardini.it/it/25p-e513301d,14,ciabatte-e-sabot,donna
Ciabatte Donna in Materiale Tecnico e Pelle,"69,50 €","99,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513423D_412_02_jpg.webp,https://nerogiardini.it/it/25p-e513423d,14,ciabatte-e-sabot,donna
Ciabatte Donna in Pelle,"83,50 €","119,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513700D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e513700d,15,ciabatte-e-sabot,donna
Ciabatte Donna in Materiale Tecnico e Pelle,"69,50 €","99,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513423D_412_02_jpg.webp,https://nerogiardini.it/it/25p-e513423d,18,ciabatte-e-sabot,donna
Ballerine Donna in Tessuto e Pelle,"94,50 €","135,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512362D_214_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-tessuto-e-pelle-25p-e512362d,4,ballerine,donna
Ballerine Donna in Pelle,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409515D_100_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-pelle-25p-e409515d,5,ballerine,donna
Ballerine Donna in Pelle,"111,50 €","139,50 € (20%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E410001D_100_02_jpg.webp,https://nerogiardini.it/it/ballerine-donna-in-pelle-25p-e410001d,5,ballerine,donna
Décolleté Donna in Pelle,"94,50 €","135,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512360D_100_02_jpg.webp,https://nerogiardini.it/it/decollete-donna-in-pelle-25p-e512360d,5,ballerine,donna
